Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1998,KEYE,CBS,"Austin, TX",3,Analog,Franklin,Core,Network,Saturdays 9-9:30AM,12,1,30,3,7,"BASED ON A SERIES BY PAULETTE BOURGEOIS AND BRENDA CLARK, THIS PROGRAM FEATURES THE ADVENTURES OF THE TURTLE FRANKLIN AND HIS FRIENDS BEAR, SNAIL, RABBIT, AND GOOSE. THE OBJECTIVES OF THE PROGRAM ARE TO PRESENT TO YOUNG VIEWERS AGE-APPROPRIATE MORAL DILEMMAS ADDRESSING ISSUES SUCH AS THE MEANING OF RIGHT AND WRONG, THE PURPOSES OF RULES AND THE CONSEQUENCES OF FOLLOWING OR NOT FOLLOWING THEM, AND THE VALUES INHERENT IN TELLING THE TRUTH, AND TO TEACH VIEWERS IMPORTANT SOCIAL VALUES SUCH AS COOPERATION AND COMPROMISE, FAIRNESS, RESPONSIBILITY, SELF RESPECT, AND RESPECT TO OTHERS. THIS PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATIONAL NEEDS OF CHILDREN, HAS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",1,N/A,N/A,N/A
1998,KEYE,CBS,"Austin, TX",3,Analog,Anatole,Core,Syndicated,Saturdays 9:30-10AM,12,1,30,5,9,"FROM THE CALDECOTT AWARD WINNING SERIES BY EVE TITUS, THIS PROGRAM FOLLOWS THE ESCAPADES OF ANATOLE THE MOUSE, WHO LEARNS TO FUNCTION IN BOTH THE WORLDS OF HUMANS AND MICE BY BEING CLEVER, DETERMINED, A HARD WORKER, A DEDICATED HUSBAND AND FATHER, AND A PROBLEM SOLVER. THE OBJECTIVES OF THE PROGRAM ARE TO ENCOURAGE VIEWERS TO IDENTIFY AND SELECT POSITIVE ALTERNATIVES WHEN FACED WITH PERSONAL, INTERPERSONAL AND SOCIAL DILEMMAS AND TO TEACH CHILDREN THAT DEDICATION AND PERSONAL EFFORT MAKE IT POSSIBLE TO BE BETTER FAMILY MEMBERS, FRIENDS, STUDENTS, WORKERS, AND CITIZENS. THIS PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATIONAL NEEDS OF CHILDREN, HAS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",1,N/A,N/A,N/A
1998,KEYE,CBS,"Austin, TX",3,Analog,Dumb Bunnies,Core,Network,Sundays 10-10:30AM,12,1,30,5,9,"DAV PILKEY'S BOOK SERIES, PUBLISHED BY SCHOLASTIC, PROVIDES THE BASIS FOR THIS PROGRAM ABOUT A FAMILY OF EXTREMELY NAIVE BUNNIES, WHO USE THEIR IDIOSYNCRATIC, NONTRADITIONAL LOGIC OT SOLVE PROBLEMS. THE OBJECTIVES OF THE PROGRAM ARE TO INTRODUCE CHILDREN TO SOME PRINCIPLES OF AND CREATIVE APPROACHES TO PROBLEM-SOLVING BY EXPOSING THEM TO DIVERGENT WAYS OF THINKING, AND TO HELP THEM UNDERSTAND THE IMPORTANCE OF FAMILY RELATIONSHIPS BUILT ON MUTUAL RESPECT, TRUST, AND COOPERATION AND THE VALUE OF VARIOUS POSITIVE PERSONAL AND SOCIAL BEHAVIORS. THIS PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATIONAL NEEDS OF CHILDREN, HAS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",1,N/A,N/A,N/A
1998,KEYE,CBS,"Austin, TX",3,Analog,Flying Rhino Junior High,Core,Network,Saturdays 10:30-11AM,12,1,30,7,11,"IN THIS SERIES, FOUR FRIENDS AT RHINO JUNIOR HIGH USE BRAINS AND BRAWN TO DEAL WITH PROBLEMS CREATED BY THEIR NEMESIS EARL P. SIDEBOTTOM, WHO CAN TRANSPOSE THE SCHOOL TO FARAWAY PLACES AND DROP STUDENTS INTO STRANGE SITUATIONS. FOCUSING EPISODICALLY ON THE DIFFERENT MEMBERS OF THE GROUP, THE PROGRAM ADDRESSES A RANGE OF PERSONAL AND SOCIAL CONCERNS FACED BY EARLY ADOLESCENTS, WHILE INTEGRATING SCHOOL CURRICULAR MATERIAL RELATIG TO THE LANGUAGE AND CREATIVE ARTS, SCIENCE, AND HISTORY, AS WELL AS PRINCIPLES OF CRITICAL THINKING AND PROBLEM SOLVING. THIS PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATIONAL NEEDS OF CHILDREN, HAS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",1,N/A,N/A,N/A
1998,KEYE,CBS,"Austin, TX",3,Analog,Birdz,Core,Network,Saturdays 11-11:30AM,13,4,30,7,11,"IN THIS SERIES, CHILDREN ARE EXPOSED TO A VARIETY OF ISSUES FACING YOUNG TEENAGERS AS SEEN THROUGH THE EYES OF A FAMILY OF BIRDS, LED BY THE 12 YEAR OLD EDDIE STORKOWITZ, AN ASPIRING FILMMAKER. THE PROGRAM FOCUSES ON COMING-OF-AGE PROBLEMS RELATED TO SELF-ESTEEM, PEER PRESSURE, INTERPERSONAL RELATIONSHIPS, SOCIAL ROLES, AND CIVILITY. THIS PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATIONAL NEEDS OF CHILDREN, HAS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",4,N/A,N/A,N/A
1998,KEYE,CBS,"Austin, TX",3,Analog,Tales from the Cryptkeeper,Core,Network,Saturdays 11:30-12PM,5,1,30,7,11,"THIS SERIES USES THE AMUSING THOUGH ENGAGINGLY GHOULISH CHARACTER THE CRYPTKEEPER, WELL KNOWN TO BOTH ELEMENTARY SCHOOL AGES AND ADOLESCENT CHILDREN, AS A STORYTELLER WHO INTRODUCES YOUNG VIEWERS TO A VARIETY OF LIFE LESSONS. THE OBJECTIVES OF THE PROGRAM ARE TO ASSIST CHILDREN IN LEARNING LESSONS SUCH AS THE IMPORTANCE OF STAYING IN SCHOOL, THE VALUE OF TELLING THE TRUTH AND BIENG CONSIDERATE OF OTHERS, AND THE NEED TO EXERCISE JUDGMENT IN CHOOSING FRIENDS, AND TO HELP VIEWERS UNDERSTAND PRINCIPLES OF SELF DISCIPLINE NEEDED TO SOLVE PERSONAL PROBLEMS. THIS PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATINOAL NEEDS OF CHILDREN, AS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",1,N/A,N/A,N/A
1998,KEYE,CBS,"Austin, TX",3,Analog,Mythic Warriors: Guardians of the Legend,Core,Network,Saturdays 11:30-12PM,8,4,30,7,11,"BASED ON THE CHILDREN'S CHOICE AWARD WINNING BOOKS BY LAURA GERINGER, THIS ADVENTURE SERIES USES A MODERNIZED MOUNT OLYMPUS TO INTRODUCE CHILDREN TO THE STORIES OF CLASSIC GREEK MYTHS AND LEGENDS, RELATED BY A STORYTELLER WHO EMPHASIZES QUESTIONS OF RIGHT AND WRONG, LOYALTY, AND ETHICAL CONDUCT. THE PROGRAM TEACHES POSITIVE LIFE LESSONS, SUCH AS THE VALUE OF PERSONAL DETERMINATION, COURAGE, AND COMPASSION, WHILE CULTIVATING AN APPRECIATION OF READING AND THE STORYTELLING TRADITION. THE PROGRAM IS SPECIFICALLY DESIGNED TO FURTHER THE EDUCATIONAL AND INFORMATIONAL NEEDS OF CHILDREN, HAS EDUCATING AND INFORMING CHILDREN AS A SIGNIFICANT PURPOSE, AND OTHERWISE MEETS THE DEFINITION OF CORE PROGRAMMING AS SPECIFIED IN THE COMMISSION'S RULES.",4,N/A,N/A,N/A
1998,KNVA,Warner Brothers,"Austin, TX",10.5,Analog,Histeria!,Core,Network,Saturdays 11:30-12PM and Mon-Fri 3:30-4PM,79,0,30,2,11,"Histeria is intended to spark an interest in and love of history in the minds and hearts of young viewers. With knowledge of history and analyzing past motivations, actions, and their results, youngsters can gain a basis for present-day performance and decision-making. By combining facts and comedy, Histeria is intended to keep history alive, supply youngsters with a portion of the historical frame of reference missing in the schools, and challenge them to proceed with future learning.",99,N/A,N/A,N/A
1998,KNVA,Warner Brothers,"Austin, TX",10.5,Analog,Kids Ideas,Core,Local,Sundays 9:30-10AM,13,0,30,8,14,"This show educates and informs children by taking them through the world of imagination, creativity and exploration with a twelve year old hosting the program. For example, she teaches kids step by step instructions on craft-making, cooking easy recipes, and visiting a lot of places around the state of Texas.",99,N/A,N/A,N/A
1998,KNVA,Warner Brothers,"Austin, TX",10.5,Analog,Click,Core,Syndicated,Sundays 10-10:30AM,13,0,30,10,16,Click is a game of speed and knowledge in which adolescent contestant teams compete to provide correct and rapid answers to different types of questions and challenges.,99,N/A,N/A,N/A
