Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,,,,,
2000,WBPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Fri 1-1:30PM & 1:30-2PM,30,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WBPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thurs 1-1:30PM,24,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WBPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Fridays 1-1:30PM & 1:30-2PM,20,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WBPX,PAX TV,"Boston, MA",3,Analog,Jack Hanna's Animal Adventures,Core,Network,Mon-Thurs 1:30-2PM,16,0,30,13,16,"Jack Hanna's Animal Adventures is a live-action program designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows Jack Hanna as he spends time with animals from all continents. Jack interviews people knowledgeable about each animal and their habitat. Children will learn about ecology, respnosibility for the environment and sharing the planet with the animals.",99,N/A,N/A,N/A,,,,,
2000,WBZ,CBS,"Boston, MA",3,Analog,Blue's Clues,Core,Network,Sundays 7-7:30AM,14,0,30,2,5,"In this series, a young adult host - together with Blue, a puppy whose personality and actions mirror those of a preschooler - brings viewers a variety of games, themes and concepts that are based on an age-appropriate educational curriculum. The program follows a narrative format, in which the host elicits contributions from the viewer to answer questions and move the action forward. The program's objectives include encouraging preschoolers to actively explore the world around them, fostering their problem-solving skills and independent reasoning, and creating a foundation of confidence and optimism for future learning. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A,,,,,
2000,WBZ,CBS,"Boston, MA",3,Analog,Dora the Explorer,Core,Network,Sundays 7:30-8AM,14,0,30,2,5,"In this series seven-year-old Dora and her monkey travel companion Boots invite the audience to join them each week on a journey in which they will have to overcome various obstacles to reach an end goal. The series uses a CD-ROM/on-line adventure game format to encourage a variety of problem-solving strategies. The objectives of this program are to assist children in developing their problem-solving skills, reinforce their emerging cognitive skills, and make computers more familiar to them by introducing and using the conventions and vocabulary of computer games. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A,,,,,
2000,WBZ,CBS,"Boston, MA",3,Analog,Little Bear,Core,Network,Saturdays 10-10:30AM,13,0,30,2,5,"Based on the famous books written by Else Homelund Minarik and illustrated by Maurice Sendak, this series follows the spirited adventures of its curious, imaginative and inventive character Little Bear and his childhood friends. From the safety of his loving home and family, Little Bear explores his world and learns new things about himself and others, seeking a small measure of independence within a protected environment. The objectives of the program are to encourage preschoolers to be curious, creative and imaginative and to illustrate for them the value of good relationships with parents and friends and of such traits as loyalty, generosity and empathy. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A,,,,,
2000,WBZ,CBS,"Boston, MA",3,Analog,Little Bill,Core,Network,Saturday 10:30-11AM,13,0,30,2,5,"This is an animated series based on children's books written by Bill Cosby that examines life through the eyes of a five-year-old boy eager to understand his world. Each episode contains two stories in which Little Bill is faced with a challenge or problem - whether emotional, social or physical - he must solve. The objectives of this series are to encourage children to value themselves and the love and support of their family, friends and community, and to help them develop their social skills and ethical values by dealing with the conflicts in their lives with fairness and creativity. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A,,,,,
2000,WBZ,CBS,"Boston, MA",3,Analog,Franklin,Core,Network,Saturdays 11-11:30AM,13,0,30,2,5,"Based on a series by Paulette Bourgeois and Brenda Clark, this program features the adventures of the turtle Franklin and his friends Bear, Snail, Rabbit and Goose. The objectives of the program are to present to young viewers age-appropriate moral dilemmas addressing issues such as the meaning of right and wrong, the purposes of rules and the consequences of following or not following them, and the values inherent in telling the truth, and to teach viewers important social values such as cooperation and compromise, fairness, responsibility, self-respect and respect for others. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A,,,,,
2000,WBZ,CBS,"Boston, MA",3,Analog,Kipper,Core,Network,Saturdays 11:30-12PM,12,1,30,2,5,"This series, based on the children's books by author/illustrator Mick Inkpen, follows a little dog Kipper and his friends. Fueled by Kipper's active imagination, a simple scenario at the start of each episode leads into a story of fantasy and humor, intended to help viewers explore their feelings and thoughts, as well as use their imagination. The objectives of the program are to assist preschoolers in their personal and social development, encourage them to test their own skills and abilities, and introduce them to concepts of cooperation with and care for others. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",N/A,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Popular Mechanics for Kids,Core,Syndicated,Saturdays 7-7:30AM,13,0,30,8,12,"""Popular Mechanics for Kids"" features two young reporters who visit some of the world's most exciting places to get a ""hands-on"" demonstration of what it takes to build and operate everything they see. The program received a 1998 Parents' Choice recommendation, a 1998 Silver Apple Award from the National Educational Media Network, and a ""highly educational"" rating from the Annenberg Public Policy Center.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Jack Hanna's Animal Adventures,Core,Syndicated,Saturdays 7:30-8AM,13,0,30,13,16,"An informative half-hour series that teaches about wild animals, natural habitats, and the environment.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,"Sabrina, the Animated Series",Core,Network,Saturdays 8-8:30AM,13,0,30,7,11,"Twelve-year old Sabrina Spellman, who is half witch and half mortal, is being raised in a non-traditional family consisting of her Uncle Quigley and two young aunts. Series episodes explore social and developmental issues such as peer pressure/competition, loyalty and friendship, responsibility, honesty, facing fears, speaking up for one's beliefs, etc. Family issues such as divorce and remarriage and household rules are also addressed.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,"Disney's Weekenders, Disney's Recess, Teacher's Pet",Core,Network,Saturdays 8:30-10:30AM,13,0,120,8,12,"This two-hour program block features three half-hour educational series in combination with a variety of short-form educational and entertainment elements which include ""Great Minds. . . Think for Themselves"" (American History segments), ""ABC's Schoolhouse Rock"" and fact-based shorts called ""What's Up With That?"" ""Weekenders"" revolves around four friends' quest for the ultimate weekend. This quartet spends each weekend discovering new levels of fun, all the while negotiating the obstacles of adolescence. Each episode follows a story from Friday afternoon to Sunday evening. The series is designated as children's educational and informational programming. ""Disney's Recess"" is a collection of animated stories about a group of fourth graders who attend suburban public school. Having been loyal friends for years, these children are an ethnically and gender-diverse group. They provide role models for viewers who may likewise be struggling with problems common to middle childhood such as conflicts with authority figures, school and family rules, desire to be popular, peer pressure, crisis's of confidence, lack of fairness. A recurrent theme is the issue of dealing with the class bully or ""teacher's pet."" Certain episodes raise thought-provoking questions which parents and children can talk about together, providing a rich source of value-oriented family discussion material. ""Teacher's Pet"" stresses the value of education and underscores the privilege of being able to attend school. Story lines illustrate the importance of honesty, cooperation, peer teamwork, problem solving, respect for rules and empathy. ""Spot/Scott's"" extraordinary vocabulary introduces children to new vocabulary and the skill of deducing meaning from context.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Brand Spanking New! Doug,Core,Network,Saturdays 10:30-11AM,13,0,30,8,12,"Narrated via the spoken journal entries of aspiring writer/cartoonist Doug Funnie, this series uses humor and fantasy in depicting the struggles of a twelve-year old boy to develop self-confidence and identity, resolve family, peer and school problems and maintain friendships strained by preadolescent physical and emotional change. Series episodes foster values such as honesty, loyalty, fairness and respect for individual differences. By means of its narrative episode structure, ""Brand Spanking New! Doug"" also serves to encourage creative writing and artistic expression.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Jabberwocky,Non-Core,Local,Saturdays 5-5:30AM,13,0,30,4,6,A locally produced series for young children that features a resident cast of performers who deliver a pro-active social/moral message through songs and skits.,99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Young American Outdoors,Non-Core,Syndicated,Saturdays 5:30-6AM,13,0,30,13,16,"The program invites children into the great outdoors to explore the world around them. The outdoor magazine, exclusively geared to kids, explores such varied topics as the stars and planets, construction of a tee-pee, surf kayaking and orienteering.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,The New Adventures of Winnie the Pooh,Non-Core,Network,Saturdays 6-6:30AM,13,0,30,3,6,"Based on the timeless characters from the renowned children's books by A.A. Milne, ""Winnie The Pooh"" centers on lovable Pooh bear and the humorous adventures he shares with Tigger, Piglet, Christopher Robin and their other friends. The series has won numerous awards, including the Emmy for Best Children's Series in 1991 and Humanitas Awards in 1989 and 1992.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Wild Moments,Non-Core,Syndicated,Saturdays 6:30-7AM,13,0,30,13,16,"The program teaches young adults about the attributes, habits, dangers and threats related to diverse wild animal species. By highlighting the ecological significance of each animal features, ""Wild Moments"" stresses the importance of conservation and provides pro-active information to motivate young viewers to honor and preserve wild animals. Professor Norman Feshback, at the UCLA Graduate School of Education and Informal Studies, acts as consultant for the program.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Jefferson Awards,Non-Core,Syndicated,Sundays 1-1:30PM,1,0,30,12,16,"To celebrate the accomplishments of the national and local Jefferson Award recipients, the American Institute for Public Service produces and distributes a national television special. Created in 1989, this program is the first television event to highlight excellence in service to America. Over nine years, the Institute has built the special to air in over 140 markets, including 8 out of the top 10, reaching more than 10 million Americans. Never before has there been such a vehicle reminding all of us that one person can make a difference.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,High 5: Salutes Thanksgiving Day Heroes,Non-Core,Local,(11/23) Thursday 7:30-8PM,1,0,30,12,16,"""High 5"", a regular news feature throughout the school year, represents a year-long commitment to recognize the outstanding achievements of high school athletes. On Thanksgiving Day, the news department produces this live half-hour special highlighting high school athletes in championship games.",99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Act-so Awards,Non-Core,Syndicated,(11/26) Sunday 12:30-1:30PM,1,0,60,12,16,This national talent search program seeks to recognize students who excel in science and in the performing arts. Sponsored by the NAACP.,99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,Holiday at Pops,Non-Core,Syndicated,(12/8) Friday 8-10PM,1,0,120,12,16,The program features classic holiday carols set against the majestic backdrop of Boston's Symphony Hall. The program provides a time for families to enjoy together the beauty of the holiday season and traditions. A children's chorus and young soloists energize the appreciation for orchestral and choral music.,99,N/A,N/A,N/A,,,,,
2000,WCVB-TV,ABC,"Boston, MA",4,Analog,New England Storm of the Century,Non-Core,Local,(12/29) Friday 7-8PM,1,0,60,12,16,"A documentary featuring the major weather disasters that have shaken New Englad since 1900. WCVB's Principal Meteorologist, Dick Albert, hosts this special look at the destructive power of Mother Nature over the course of the 20th century.",99,N/A,N/A,N/A,,,,,
