Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,
2003,WBPX,PAX  TV,Boston,3,analog,MIRACLE PETS,core,network,Wednesdays / October st - December 31st / 3:00 p.m. ET,14,0,60,13,16,"Miracle Pets is a one-hour live-action program. This show is designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode explores different short re-enactments of pets/animals doing heroic, extraordinary actions. Children learn positive role models, pro-social values and the importance of taking care of the pets in their lives.",99,n/a,n/a,n/a,
2003,WBPX,PAX  TV,Boston,3,analog,MIRACLE PETS,core,network,Saturdays / October 4th - December 27th / 6:00 p.m. ET,13,0,60,13,16,"Miracle Pets is a one-hour live-action program. This show is designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode explores different short re-enactments of pets/animals doing heroic, extraordinary actions. Children learn positive role models, pro-social values and the importance of taking care of the pets in their lives.",99,n/a,n/a,n/a,
2003,WBPX,PAX  TV,Boston,3,analog,ANIMAL TAILS,core,network,Sundays / October 5th - December 28th / 6:00 p.m. ET,13,0,60,13,16,"Animal Tails is a one-hour, taped television program with a live, participating audience. This show is designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows the host, Mark Curry, as he spends time with people, pets and exotic animals as they recount their real-life adventures. Mark also talks with people knowledgeable about each animal, teaching as he goes. Each episode is designed to reveal to children the world around them in a way that presents positive role models and pro-social values.",99,n/a,n/a,n/a,
2003,WBZ,CBS,Boston,3,analog,THE WILD THORNBERRYS,core,network,"Saturdays, 12:00pm - 12:30pm",9,4,30,6,11,"This program follows the travels of Eliza Thornberry, whose parents produce nature documentaries and wander the globe in search of exotic places, plants and animals. Eliza has the ability to talk to animals, and her special gift allows her to see and understand the natural world in a very close and personal way. The objectives of the program are to help children learn concepts related to plants, animals and general ecology, and to experience the family interactions of children with parents who are committed to intellectual pursuits and have unique lifestyles. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",2,n/a,n/a,n/a,
2003,WBZ,CBS,Boston,3,analog,HEY ARNOLD!,core,network,"Saturdays, 12:30pm - 1:00pm",10,3,30,6,11,"This series revolves around the adventures of nine-year-old Arnold, who lives in his grandparents' boarding house, where he must interact with a group of eccentric boarders, as well as with his friends and other neighborhood children. Arnold uses his creativity, reourcefulness and calm to deal with the issues presented by life as a fourth grader in the big city. The objectives of this series are to help elementary school aged children to acquire better personal and social development skills through life-lessons, themes and stories that will cause them to think, assess, explore and monitor their own behavior, and to introduce them to a variety of people and issues in order to provide them with a springboard for understanding experiences in their own lives. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",2,n/a,n/a,n/a,
2003,WBZ,CBS,Boston,3,analog,CHALKZONE,core,network,"Saturdays, 11:00am - 11:30am",12,1,30,2,11,"Chalkzone is a series about the adventures of Rudy Tabootie, a 10 year old boy who discovers an imaginary world beyond the chalkboard where everything that has ever been drawn in chalk, and then erased, reappears and remains forever. In the Chalkzone, Rudy - with the help of his friends, the scientifically minded Penny and the brash superhero Snap, who Rudy has created - uses his love of drawing and his imagination to create adventures in which tries to ""do good by doing art"". The objective of this series is to encourage children to understand and appreciate how use of their creative talents can assist them in solving problems and build their confidence in dealing with real life situations. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,n/a,n/a,n/a,
2003,WBZ,CBS,Boston,3,analog,LITTLE BILL,core,network,"Saturdays, 11:30am - 12:00pm",12,1,30,2,11,"This is an animated series based on children's books written by Bill Cosby that examines life through the eyes of a five-year-old boy eager to understand his world. Each episode contains two stories in which Little Bill is faced with a challenge or problem, whether emotional, social or physical, he must solve. The objectives of this series are to encourage children to value themselves and the love and support of their family, friends and community, and to help them develop their social skills and ethical values by dealing with the conflicts in their lives with fairness and creativity. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,n/a,n/a,n/a,
2003,WBZ,CBS,Boston,3,analog,DORA THE EXPLORER,core,network,"Saturdays, 10:00am - 10:30am",12,1,30,2,5,"In this series seven-year-old Dora and her monkey travel companion Boots invite the audience to join them each week on a journey in which they will have to overcome various obstacles to reach an end goal. The series uses a CD-ROM/on-line adventure game format to encourage a variety of problem-solving strategies. The objectives of this program are to assist children in developing their problem-solving skills, reinforce their emerging cognitive skills, and make computers more familiar to them by introducing and using the conventions and vocabulary of computer games. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,n/a,n/a,n/a,
2003,WBZ,CBS,Boston,3,analog,BLUE'S CLUES,core,network,"Saturdays, 10:30am - 11:00am",12,1,30,2,5,"In this series, a young adult host - togeher with Blue, a puppy whose personality and actions mirror those of a preschooler - brings viewers a variety of games, themes and concepts that are based on an age-appropriate educational curriculum. The program follows a narrative format, in which the host elicits contributions from the viewer to answer questions and move the action forward. The program's objectives include encouraging preschoolers to actively explore the world around them, fostering their problem-solving skills and independent reasoning, and creating a foundation of confidence and optimism for future learning. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,n/a,n/a,n/a,
2003,WCVB-TV,ABC,Boston,4,analog,EYEWITNESS NEWS KIDS,core,syndicated,Saturdays 7:00-7:30am (as of 9/27),13,0,30,13,16,"Hosted by a diverse team of young journalists. The child-oriented newscast covers serious news topics like terrorism, bullying, health issues as well as entertainment. International news and a regular segment with the Weekly Reader will also be featured.",99,n/a,n/a,n/a,
