Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,WBPX,I Independent Television,Boston,3,Analog,AMERICA'S MOST TALENTED KIDS E/I,Core,Network,Thursdays / October 6th - December 29th / 6:00 p.m. ET,13,0,60,13,16,"America's Most Talented Kids is a one-hour program that serves as a way for children ages 13 to 16 to learn and share from one another in a positive, constructive, socially compelling fashion that is also entertaining. Ranging from singers and dancers to comedians and magicians, the young performers partake in an experience that gives them the confidence and know-how to shoot for the stars.",99,N/A,N/A,N/A
2005,WBPX,I Independent Television,Boston,3,Analog,ANIMAL TAILS E/I,Core,Network,Fridays / October 7th - December 30th / 6:00 p.m. ET,13,0,60,13,16,"Animal Tails is a one-hour, taped television program with a live-participating audience. This show is designed to meet the eductaional and informational needs of children between th ages of 13 and 16. Each episode follows the host, Mark Curry, as he spends time with people, pets and exotic animals as they recount their real-life adventures. Mark also talks with people knowledgeable about each animal, teaching as he goes. Each episode is designed to reveal to children the world around them in a way that presents positive role models and pro-social values.",99,N/A,N/A,N/A
2005,WBPX,I Independent Television,Boston,3,Analog,AMERICA'S MOST TALENTED KIDS E/I,Core,Network,Fridays / October 7th - December 30th / 8:00 p.m. ET,13,0,60,13,16,"America's Most Talented Kids is a one-hour program that serves as a way for children ages 13 to 16 to learn and share from one another in a positive, constructive, socially compelling fashion that is also entertaining. Ranging from singers and dancers to comedians and magicians, the young performers partake in an experience that gives them the confidence and know-how to shoot for the stars.",99,N/A,N/A,N/A
2005,WBZ,CBS,Boston,3,Analog,LAZYTOWN,Core,Network,Saturdays 12:00pm - 12:30pm,11,3,30,2,11,"This program is anchored by Sportacus, a fit and agile hero, whose ""kryptonite"" is sugar, which makes him instantly lethargic. Sportacus and the program's cast of child characters are challenged in each episode with an issue or dilemma, and are opposed in their attempts to complete their mission by Robbie Rotten, who seeks to return Lazytown to its former lazy ways. The program seeks to impart to preschool and early school-aged children the importance of healthy living, and to help them understand the value of developing sound eating and physical exercise habits, while also providing them positive messages about friendship, empathy, self-respect, truthfulness and other age-appropriate life lessons. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",3,N/A,N/A,N/A
2005,WBZ,CBS,Boston,3,Analog,"GO, DIEGO, GO",Core,Network,Saturdays 12:30pm - 1:00pm,11,3,30,2,5,"Go, Diego, Go is an interactive, informational series designed for preschool and early school-age children, in which Diego, a Latino eight year old who loves nature and animals, teams up with viewers to learn scientific facts and develop strategies in order to rescue animals in each episode. In addition to imparting knowledge about animals, their characteristics and habitats, the program also introduces children to Spanish words, which the viewer is asked to then use strategically, and to Latin American music, folktales and traditions. The educational objectives of the program are to provide children imaginative stories, through which they can develop knowledge of and concern for animals, their habitats, our environment, and to introduce them to another language and culture. By actively involving children in the resolution of each challenge, the program also seeks to impart to them the importance of strategic thinking, cooperation and teamwork in problem-solving. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",3,N/A,N/A,N/A
2005,WBZ,CBS,Boston,3,Analog,THE BACKYARDIGANS,Core,Network,Saturdays 11:00am - 11:30am,14,0,30,2,5,"This program centers on three preschool friends, who play together after school in a barrier-less backyard behind their adjacent homes. In each episode, the children imagine an adventure, and their yard is transformed into the setting for the action. The program uses both original and well-known songs to reveal emotion, explicate character and advance the stories. The educational objectives of the program are to nuture children's interest in music, dance and imaginative storytelling, and to use these creative arts to foster children's cognitive and emotional development. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,WBZ,CBS,Boston,3,Analog,DORA THE EXPLORER,Core,Network,Saturdays 11:30am - 12:00pm,14,0,30,2,5,"In this series seven-year-old Dora and her monkey travel companion Boots invite the audience to join them each week on a journey in which they will have to overcome various obstacles to reach an end goal. The series uses a CD-ROM/on-line adventure game format to encourage a variety of problem-solving strategies. The objectives of this program are to assist children in developing their problem-solving skills, reinforce their emerging cognitive skills, and make computers more familiar to them by introducing and using the conventions and vocabulary of computer games. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,WBZ,CBS,Boston,3,Analog,LITTLE BILL,Core,Network,Saturdays 10:00am - 10:30am,14,0,30,2,11,"This is an animated series based on children's books written by Bill Cosby that examines life through the eyes of a five-year-old boy eager to understand his world. Each episode contains two stories in which Little Bill is faced with a challenge or problem, whether emotional, social or physical, he must solve. The objectives of this series are to encourage children to value themselves and the love and support of their family, friends and community, and to help them develop their social skills and ethical values by dealing with the conflicts in their lives with fairness and creativity. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,WBZ,CBS,Boston,3,Analog,BLUE'S CLUES,Core,Network,Saturdays 10:30am - 11:00am,14,0,30,2,5,"In this series, a young adult host - together with Blue, a puppy whose personality and actions mirror those of a preschooler - brings viewers a variety of games, themes and concepts that are based on an age-appropriate educational curriculum. The program follows a narrative format, in which the host elicits contributions from the viewer to answer questions and move the action forward. The program's objectives include encouraging preschoolers to actively explore the world around them, fostering their problem-solving skills and independent reasoning, and creating a foundation of confidence and optimism for future learning. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,N/A,N/A
2005,WCVB-TV,ABC,Boston,3.73,Analog,LILO & STITCH: THE SERIES,Core,Network,Saturdays 9:00 - 9:30 AM,14,0,30,7,10,"Lilo, a precocious girl of about five, and her alien pet Stitch live with Lilo's sister Nani. Nani is trying to keep their little family together after the tragic death of their parents in an automobile accident. Although still a teen herself, Nani works several jobs and struggles to be an adult role model for Lilo. Two alien characters, Jumba and Pleakley, who arrived on planet Earth at the same time as Stitch, live with Nani and Lilo while pretending to be their aunt and uncle. This ploy is intended to convince the Department of Social Services that the household is well managed and there is no need for foster-care placement for Lilo. Series episodes illustrate developmentally appropriate issues, among which are peer pressure, coping with bereavement, family and school rules and problem solving. Stories convey messages about truthfulness, responsibility, acceptance and trust. The series includes Hawaiian language, music, dance and custom, exposing our broad ABC audience to the richness of Pacific Rim culture.",99,N/A,N/A,N/A
