Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2000,WADL-TV,N/A,DETROIT,3,ANALOG,THE MAGIC SCHOOL BUS,CORE,NETWORK,MON-FRI 7:3-8:00 AM & MON 3:00-3:30 PM,78,0,30,6,9,"A significant purpose of Scholastic's ""The Magic School Bus"" is to educate and inform children between 6 and 9 years of age. The educational and informational objectives of the series are to: motivate children's interest in science; introduce science ideas; inspire positive attidtues toward science and education; and model age appropriate science problem solving behavior.",99,N/A,N/A,N/A
2000,WDIV,NBC,DETROIT,3,ANALOG,HANG TIME,CORE,NETWORK,SAT 10:00-10:30 AM,13,0,30,13,16,"""Hang Time"" follows the Deering Tornadoes, a varsity basketball team in an Indiana high school that includes only one female player. The series follows the starting line-up through its basketball seasons and explores both personal themes of adolescent life, as well as the social themes which relate to sportsmanship, fair play, jealousy, teamwork, cooperation and competition. As the team progresses through each season, the audience will see them develop skills in several areas. These include establishing priorities, managing conflict, developing self-confidence, respecting differences, and reducing bias in behavior toward others. There is an emphasis on interpersonal competence and teamwork which demonstrates to the audience ways to develop positive self-concepts yet also make and maintain effective social relationships.",99,N/A,N/A,N/A
2000,WDIV,NBC,DETROIT,3,ANALOG,ONE WORLD,CORE,NETWORK,SAT 10:30-11:00 AM,13,0,30,13,16,"""One World"" focuses on a family of six adopted and foster children who live with Dave and Karen Blake, a high school baseball coach and his wife. Each of the Blake children has had a rough life - getting into trouble either at school or with the law, or getting bounced around to different foster families. Life with the Blakes is their chance at a stable future but each child's background influences their perspective on how to handle family and life challenges. In addition to learning how to manage family relationships, the kids deal with other social and cognitive issues, from providing service to help others, to life planning and educational development. There is an emphasis on understanding multiple perspectives in any problem and giving every person a fair chance to prove their worth to others.",99,N/A,N/A,N/A
2000,WDIV,NBC,DETROIT,3,ANALOG,CITY GUYS,CORE,NETWORK,SAT 11:00-11:30 AM,13,0,30,13,16,"""City Guys"" originates at a densely populated, multi-ethnic public high school in the heart of Manhattan. Through its characters the show demonstrates that what we see doesn't begin to tell the story about who people really are and what life is really like. Two young men who seem to be opposites in all the obvious ways - race, economic background, culture, clothes and music - are thrown into a friendship and working relationship by their wise and acerbic principal. The boys actually have a lot in common - they are both bright, they want to be more than the negative images they sometimes project, and they have never been motivated to really think, reflect, or act beyond the superficial. As they deal with the pressures of big city life, they learn that getting beyond the superficial and seriously dealing with a deeper reality is the critical path to attaining suceess.",99,N/A,N/A,N/A
2000,WDIV,NBC,DETROIT,3,ANALOG,JUST DEAL,CORE,NETWORK,SAT 11:30-12:00 PM,13,0,30,13,16,"""Just Deal"" focuses on the development of three teens who are uniquely different from one another yet forge deep bonds of friendship through their shared interests and problems. As these three navigate their way through high school, they will deal with all the important issues of adolescence, modeling their problem-solving and decision-making for the teen audience. The overarching goal of this series is to take the viewer from one level of knowledge to a more informed or higher level of knowledge within each episode. Topics will include racial identity, understanding and accepting loss, facing failure, effective communication, conflict management, personal responsibility, service to others, trust and betrayal, academic achievement, life balance, and tolerance.",99,N/A,N/A,N/A
2000,WDIV,NBC,DETROIT,3,ANALOG,CITY GUYS,CORE,NETWORK,SAT 12:00-12:30 PM,12,1,30,13,16,"""City Guys"" originates at a densely populated, multi-ethnic public high school in the heart of Manhattan. Through its characters the show demonstrates that what we see doesn't begin to tell the story about who people really are and what life is really like. Two young men who seem to be opposites in all the obvious ways - race, economic background, culture, clothes and music - are thrown into a friendship and working relationship by their wise and acerbic principal. The boys actually have a lot in common - they are both bright, they want to be more than the negative images they sometimes project, and they have never been motivated to really think, reflect, or act beyond the superficial. As they deal with the pressures of big city life, they learn that getting beyond the superficial and seriously dealing with a deeper reality is the critical path to attaining suceess.",N/A,N/A,N/A,N/A
2000,WDIV,NBC,DETROIT,3,ANALOG,NBA INSIDE STUFF,CORE,NETWORK,SAT 12:30-1:00 PM,11,2,30,13,16,"""NBA Inside Stuff"" features the pro-social, off-court activities of male and female basketball players, coaches, team personnel and teenage athletes. Other features highlight athletic skills, attitude and knowledge needed for successful athletic competition and participation. Program segments are based on the U.S. Department of Education's Goals 2000, with particular focus on messages encouraging the following values: school completion, community service, cooperation, tolerance of differences, healthful practices and athletics, peaceful conflict resolution and global awareness.",N/A,N/A,N/A,N/A
2000,WDWB,WB,DETROIT,3,ANALOG,GENERATION O!,CORE,NETWORK,FRI 4:20-4:50 PM,13,0,30,6,11,Generation O! [Gen O] seeks to engage and delight young grade school children while promoting positive pro-social models of life-skills and character development as it portrays how an 8 year old normal kid/famous rock star deals with the kinds of day-to-day problems that all children must confront.,99,N/A,N/A,N/A
2000,WDWB,WB,DETROIT,3,ANALOG,HISTERIA,CORE,NETWORK,MON-THURS 7:30-8:00 AM,52,1,30,6,12,"Histeria was created to bring young viewers an awareness and appreciation for history, increase core historical knowledge base including fact-based knowledge in American, World, Political, scientific and music histories. Also to enhance knowledge and understanding of different ethnic and religious groups and analysis. Mix all of the above with a good dose of fun - and you have HISTERIA!!",N/A,N/A,N/A,N/A
2000,WDWB,WB,DETROIT,3,ANALOG,DETENTION,CORE,NETWORK,FRI 3:30-4:00 AM,13,0,30,6,11,"Detention is intended to provide a series of positive character building and pro-social educational experiences geared toward aiding viewers in their own personal, social and inter-development. The mismatched pre-teens make choices in order to deal with the challenges they face. Viewers will come to see the advantages of clear thinking, taking consequences for their action[s] into their decision making so that they will stay out of DETENTION!",99,N/A,N/A,N/A
2000,WDWB,WB,DETROIT,3,ANALOG,KEYS KIDS,NON-CORE,LOCAL,SUN 5:30-6:00 AM,13,0,30,7,12,"KEYS Kids is a locally produced show. The letters of the program title stand for [K]Kids [E]Enjoy [Y]Your[S]selves without Drugs.The show asks children and their families to look for alternatives to behaviors that can hurt them. Many programs cover fitness, self-esteem the importance of education, etc. KEYS Kids is designed to entertain and educate using life-sized puppet characters to teach young people and their families about the importance of living a happy, healthy and drug free life - ever confident in who they are.",99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,SUPERBOOK,CORE,SYNDICATED,SAT 7:00 AM,12,0,30,5,10,"Animated series that educates and informs children by teaching Bible stories which highlight important character traits children will need in life, such as courage, loyalty, responsibility and friendship.",99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,LIFT JESUS HIGHER,CORE,SYNDICATED,SAT 7:30 AM,13,0,30,5,14,"Educates and informs children by teaching Bible principles through puppets, interviews, music and illustrated stories.",99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,KINGSLEY'S MEADOW,CORE,SYNDICATED,SAT 8:00 AM,13,0,30,2,5,Educates and informs children by teaching Biblical lessons. Bible stories are narrated and acted out by live action kids using humor and adventure to teach a moral lesson.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,COME MEET JESUS,CORE,SYNDICATED,SAT 8:30 AM,13,0,30,7,12,"Educates and informs children about creation by presenting facts about nature and archeology, songs are used in the program.",99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,JOY JUNCTION,CORE,SYNDICATED,SAT 9:00 AM,11,0,30,8,12,Educates and informs children by teaching important life skills based on positive and practical Bible principles. Also demonstrates the importance of team work.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,GOSPEL BILL,CORE,SYNDICATED,SAT 9:30 AM,11,0,30,6,11,Educates and informs children by teaching positive social skills and self awareness based on Biblical principles. A major theme is knowing the difference between right and wrong.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,FAITHVILLE,CORE,SYNDICATED,SAT 10:00 AM,12,0,30,4,16,Educates and informs children about the value of teamwork and the importance of the community.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,JANICE'S ATTIC,CORE,SYNDICATED,SAT 10:30 AM,10,0,30,6,11,Educates and informs children by teaching positive applications of work ethics based on Biblical principles. Spelling games recur through each show.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,JUST THE FACT,CORE,SYNDICATED,SAT 11:00 AM,9,0,30,10,16,Educates and informs children by teaching critical thinking and problem solving skills based on Biblical principles. Helps adolescents deal with issues that affect them.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,KIDS LIKE YOU,CORE,SYNDICATED,SAT 11:30 AM,12,0,30,6,12,Educates and informs children by presenting challenging situations with solutions that develop character.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,THE REPPIES,CORE,SYNDICATED,SAT 12:00 PM,11,0,30,6,12,Educates and informs children about valuable life lessons. The program explores the decision making process of important and sometimes difficult choices encountered.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,COLBY'S CLUBHOUSE,CORE,SYNDICATED,SAT 12:30 PM,7,0,30,6,12,Educates and informs children about how to deal successfully with everyday situations and challenges using principles of the Bible.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,WORSHIP FOR KIDS,CORE,SYNDICATED,SAT 1:00 PM,9,0,30,4,8,Educates and informs children using songs and Biblical readings illustrating moral teachings. Children are challenged to apply Christian values to every day situations.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,FLYING HOUSE,NON-CORE,SYNDICATED,SAT 6:30 AM,12,0,30,6,12,"Educates and informs children using animated stories emphasizing good moral character, teamwork and goals based on Bible stories.",99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,AL DENSON,NON-CORE,SYNDICATED,"SAT 12:30 AM, 1:00 AM",11,0,30,12,16,"Educates and informs youth using music videos, plus interviews other musicians who share how the viewers can live a life with out drugs and bondage.",99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,REAL VIDEOS,NON-CORE,SYNDICATED,"SAT 3:00 AM & SUN 1:00 AM, 1:30 AM",22,0,30,12,16,Educates and informs youth using music videos with Christian themes. The host explains the moral principles connected with those videos.,99,N/A,N/A,N/A
2000,WDWO-LP,N/A,DETROIT,6,ANALOG,G ROCK,NON-CORE,SYNDICATED,"SAT 4:00 AM & SUN 12:30 AM, 3:00 AM",8,0,30,12,16,"Educates and informs youth through music videos and guest interviews. Biblical values are shown, and the host explains the moral principles connected with the videos.",99,N/A,N/A,N/A
