Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,WADL-TV,N/A,DETROIT,4,ANALOG,TROLLZ,CORE,SYNDICATED,MON-THURS 7:00-7:30 AM & TUES 7:30-8:00 AM,21,0,30,8,12,"THE MISSION OF THIS PROGRAM IS TO ENGAGE AND ENTERTAIN 8-12 YEAR OLDS WHILE PORTRAYING AND PROMOTING POSITIVE CHARACTER DEVELOPMENT AND INTERPERSONAL SKILLS RELEVANT TO ISSUES THAT CONFRONT TODAY'S CHILD. TROLLZ PRESENTS ATTRACTIVE, ENGAGING CHARACTERS AND ENTERTAINING STORY LINES THAT EXAMINE THE KINDS OF ISSUES AND SITUATIONS TODAY'S CHILDREN CONFRONT. IT EXAMINES THOSE ISSUES IN EXPLICIT , CONCRETE TERMS THAT CHILDREN CAN UNDERSTAND. IN SHORT, TROLLZ IS A PRIME EXAMPLE OF THE POWER OF COMBINING GOOD STORY TELLING AND PROSOCIAL MESSAGES.",99,N/A,N/A,N/A
2005,WADL-TV,N/A,DETROIT,4,ANALOG,CAPTAIN PLANET,CORE,SYNDICATED,FRI 7:00-7:30 AM,13,0,30,6,10,"THE PRIMARY GOAL OF CAPTAIN PLANET IS TO MAKE THE ENVIRONMENT AND ITS PROTECTION A SALIENT ISSUE FOR YOUNG VIEWERS. THE SERIES AIMS TO INTRODUCE 6-10 YEAR OLDS TO THE IDEA THAT ALL ELEMENTS OF THE ENVIRONMENT ARE INTERCONNECTED, THAT MOST HUMAN BEHAVIOR AFFECTS THE ENVIRONMENT, AND THAT EACH INDIVIDUAL ""HAS THE POWER"" TO TAKE ACTION THAT WILL HELP PROTECT THE ENVIRONMENT.",99,N/A,N/A,N/A
2005,WADL-TV,N/A,DETROIT,4,ANALOG,REAL LIFE TEENS,CORE,SYNDICATED,MON 7:30-8:00 AM,13,0,30,12,18,"REAL LIFE TEENS SERIES TAKES AN UNBIASED , REALSTIC LOOK, FROM THE TEENS' PERSPECTIVE, AT THE WIDE VARIETY OF ISSUES TEENS FACE TODAY. FEATURING YOUNG TEENAGERS (NOT ACTORS) TELLING THEIR OWN STORIES, IN THEIR OWN WORDS. TOPICS COVERED INCLUDE, TEENS AND THE LAW, BULLIES AND HARASSMENT, WEAPONS AND VIOLENCE, RACIAL TENSION, BILL OF RIGHTS AT SCHOOOL, SMOKING, DRUGS, ALCOHOL, PEER PRESSURE, TEEN ANGER, TEEN DEPRESSION, DARKSIDE OF DATING, AND LESSONS OF LOVE.",99,N/A,N/A,N/A
2005,WADL-TV,N/A,DETROIT,4,ANALOG,EXPLORATION WITH RICHARD WIESE,CORE,SYNDICATED,FRI 7:30-8:00 AM,13,0,30,13,16,"THIS REAL LIFE ADVENTURE SERIES INTRODUCES YOUNG TEENS TO SUCH SUBJECTS AS UNDERWATER ARCHEOLOGY, TRACKING KILLER WHALES, MOUNTAIN CLIMBING IN ALASKA, EXPLORING FOR HISTORIC SUNKEN TREASURE, GRIZZLY BEARS, WOLVES, VOLCANOS, AND MAYAN CIVILIZATION.",99,N/A,N/A,N/A
2005,WDIV,NBC,DETROIT,3,ANALOG,TUTENSTEIN,CORE,NETWORK,SAT 10:00-10:30 AM,14,0,30,9,14,"""Tutenstein"" is a resurrected ten-year-old boy mummy who thinks that he is still King Tut-Ankh-en-Set-Amun, Pharaoh and ruler of the world. Little does he understand that three millennia have passed and everything around him has changed. The show’s educational content includes Egyptology and social-emotional messages. Egyptology is presented through the introduction of historically accurate depictions of myths, legends, demons and gods. In each story Tut and his sidekicks, Cleo and her cat, Luxor, have an adventure where the ancients are resurrected as allies or enemies in a conflict that takes place in modern times. Most of the socio-emotional lessons revolve around learning to plan, being less selfish, and considering the consequences of impulsive behavior. Cleo is usually the voice of reason for Tut, as she is the one who has to problem-solve their way out of each escapade they encounter.",99,N/A,N/A,N/A
2005,WDIV,NBC,DETROIT,3,ANALOG,TIME WARP TRIO,CORE,NETWORK,SAT 10:30-11:00 AM,14,0,30,9,14,"""Time Warp Trio"" consists of three curious boys – Fred, Sam and Joe – who are transported through time via a mysterious magic book that is presented to Joe by his magician uncle. “The Book” warps the boys backward or forward in time, before disappearing, to experience extraordinary adventures where they partake in the makings of history as they search for the magical book to return home. When the boys are warped into the future, they come face to face with their own great-granddaughters – Freddi, Samantha and Jodie – who have also inherited “The Book” over time. Through their time-travels, the six kids periodically bump into one another and help each other to locate “The Book” while outsmarting their adversaries so they can warp back home. The show embeds interesting historical facts in a way that blends action, adventure and fun that appeals to a young audience.",99,N/A,N/A,N/A
2005,WDIV,NBC,DETROIT,3,ANALOG,TRADING SPACES: BOYS VS GIRLS,CORE,NETWORK,SAT 11:00-11:30 AM,14,0,30,9,14,"Boys and girls get to show how well they know each other, how effectively they can manage a budget, and how skillfully they can execute a design plan in ""Trading Spaces: Boys vs. Girls"". Each week a boy or girl will be given two days and $5000 dollars to complete a renovation of their partner’s “room.” The space might be a bedroom, a recreation room, or a club house, but the “designer” has to show his or her knowledge of the other person’s preferences, hobbies, and lifestyle to come up with a good design. Then, the challenge of balancing the budget and figuring out the renovation process begins. Participants will learn measurement, spatial reasoning, and principles of aesthetic design as they go through the experience. In the end, they will find out if their knowledge and perception of their partner was on or off base.",99,N/A,N/A,N/A
2005,WDIV,NBC,DETROIT,3,ANALOG,DARCY'S WILD LIFE,CORE,NETWORK,SAT 11:30-12:00 PM,14,0,30,9,14,"""Darcy's Wild Life"" follows the life of 15-year-old Darcy Fields, the pampered daughter of a top Hollywood movie-star who was plucked out of a life of limos, movie-premiers and world class restaurants to live a “no frills” life in rural Idaho. Darcy’s initial resentment gives way to optimism as she makes new friends and becomes a part of the community. The educational goal of the program is for the main character, Darcy, to model the learning process in adjusting to a new environment that is the complete antithesis of her old life. Darcy comes to a deeper understanding of herself, the value of relationships, and the insignificance of material things. This occurs as she adjusts to her new surroundings and a new group of friends who have totally different perspectives on life. Specific objectives are to show Darcy, with her Hollywood mentality, navigating her way through life on a farm and relating to people who have a different outlook on life. The viewer will also learn about the care and treatment of a variety of animals that live on farms or in the wild",99,N/A,N/A,N/A
2005,WDIV,NBC,DETROIT,3,ANALOG,FLIGHT 29 DOWN,CORE,NETWORK,SAT 12:00-12:30 PM,14,0,30,9,14,"""29 Down"" is the name of the small, chartered plane that carries a group of 11 across the South Pacific for an eco-camping class trip to a desert island in Micronesia. Before they can join the rest of their class at the destination, 29 DWN malfunctions and the pilot/camp counselor has to make an emergency crash landing on a remote island somewhere in the South Pacific. With nothing but their camping gear, a limited supply of resources, and each other, the group tries to come to grips with the situation that challenges them, through intelligence and instinct. As they confront the false perceptions they have of themselves and one another, the group realizes that they must learn how to live and work together in order to survive. The show carries a powerful social-emotional message that draws upon the complexities of human behavior and social relationships, in which adolescents struggle to define themselves and their roles in a social group, while learning how to work together to deal with the challenges of the harsh reality that faces them.",99,N/A,N/A,N/A
2005,WDIV,NBC,DETROIT,3,ANALOG,ENDURANCE,CORE,NETWORK,SAT 12:30-1:00 PM,14,0,30,9,14,"""Endurance"" is an engrossing program that shows the target audience succeeding at several different physical, intellectual and strategic challenges. Overall, the competition balances luck or fate against personal effort so that the contestants learn to balance intellect with intuition in developing their winning strategy. Narration and interviews during each episode trace the emotional growth and insights of the contestants, with an emphasis on how the experience of protracted competition and teamwork teaches both social skills and life skills for achieving success with your goals.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,THE REPPIES,CORE,NETWORK,SAT 8:00-8:30 AM,14,0,30,6,12,"In this live action program featuring life size puppets and songs, children are informed and educated about the decision making process of the important and sometimes difficult choices that children encounter.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,KIDS LIKE YOU,CORE,SYNDICATED,8:30-9:00 AM,14,0,30,6,12,"In this live action variety program, children are educated and informed of a positive and energetic approach to behavioral and moral issues.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,EARL THE EMU,CORE,SYNDICATED,SAT 9:00-9:30 AM,14,0,30,2,5,"Through this live action series, children are taught values, virtues and morals through songs and skits.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,MARILEE DAWN & FRIENDS,CORE,SYNDICATED,SAT 9:30-10:00 AM,14,0,30,4,9,"In this live action program featuring puppets and song, children are informed and educated about the dicision making process of the important and sometimes difficult choices that children encounter.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,DOOLEY & PALS,CORE,NETWORK,SAT 10:00-10:30 AM,13,1,30,2,5,"Children are taught a positive and energetic approach to life lessons and pro-social skills through discovery, dance and music in the context of animated adventures",0,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,CMJ CLUB ZONE,CORE,NETWORK,SAT 10:30-11:00 AM,13,1,30,6,12,"In this live action variety program, children are educated and informed of a positive and enegetic approach to behavioral and moral issues and whose purpose is to reinforce faith, positve values and self-esteem.",0,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,KICKS CLUB,CORE,NETWORK,SAT 11:00-11:30 AM,14,0,30,6,12,"In this live action variety program, children are educated and informed of a positive and energetic approach to behavorial and moral issues.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,KID'S CENTER,CORE,SYNDICATED,SAT 11:30-12:00 PM,14,0,30,7,12,"Using humor as a vehicle, the characters of Kid's Center illustrate practical moral lessons designed to help children and famillies understand and apply the Biblical principles and morals to their own lives.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,THE LOGAN SHOW,NON-CORE,SYNDICATED,SUN 12:00-12:30 AM,13,0,30,16,25,"Through interviews, comedians and featured muscians the audience hears testamonies and discussions of today's current events and how they affect viewer's daily lives.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,CUTTING EDGE VIDEOS,NON-CORE,SYNDICATED,SUN 12:30-1:00 AM,13,0,30,13,18,"Through this mix of live action and music videos, teens are taught strong moral values and positive Christian behavior.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,THE ZONE,NON-CORE,SYNDICATED,SUN 1:00-1:30 AM,10,3,30,13,18,"Through this live action program, audience members are challenged to consider addressing important moral choices using Christian values",N/A,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,ACQUIRE THE FIRE,NON-CORE,SYNDICATED,SUN 1:30-2:00 AM,13,0,30,16,21,"Through interviews, music and dramas, young people are challenged to examine their moral principles and encouraged to change those habits which are morally and physically dangerous.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,THE WAY OF THE MASTER,NON-CORE,SYNDICATED,SUN 2:00-2:30 AM,13,0,30,16,21,"The Way of The Master is a minsitry whose purpose is to teach Christians how to share the gospel effectively, biblically...the way Jesus did.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,THIS GENERATION,NON-CORE,SYNDICATED,SUN 2:30-3:00 AM,13,0,30,16,21,"This Generation is a ""high energy"" program making the Word of God relevant for today's teenager with the latest Christian music videos shot on location at events like x-games, super cros motorcycle racing, sky diving events and more. more.",99,N/A,N/A,N/A
2005,WDWO-CA,N/A,DETROIT,4,ANALOG,ROCKHOUSE CAFÉ,NON-CORE,NETWORK,SUN 3:00-3:30 AM,13,0,30,14,21,RocHouse Café is a vehicle being used to share Christian solutions for today’s teen and young adult in a confusing world. Program uses testimony and music for entertainment and education.,99,N/A,N/A,N/A
2005,WJBK,FOX,DETROIT,3,ANALOG,SAFARI TRACKS,CORE,SYNDICATED,SAT 10:00-10:30 AM,14,0,30,8,16,"Safari Tracks - is an exciting, entertaining, and advertiser friendly series of half-hour programs focused entirely on African wildlife. Safari Tracks will educate young viewers about wildlife conservation and show them how to better support efforts to protect endangered species.",99,N/A,N/A,N/A
2005,WJBK,FOX,DETROIT,3,ANALOG,ANIMAL ATLAS,CORE,SYNDICATED,SAT 1:30-2:00 PM,11,3,30,8,16,"""Animal Atlas"" is a weekly half-hour reality series showcasing spectacular rescues of all types of animals. The series focuses on the dedicated people around the world who help sick, injured or abused animals. The program also instructs children on the proper care of animals and provides safety tips on how to care for all kinds of creatures in the animal kingdom. The show is aimed at children and families who want to learn about animal treatment, care and protection.",3,N/A,N/A,N/A
2005,WJBK,FOX,DETROIT,3,ANALOG,AWESOME ADVENTURES,CORE,SYNDICATED,SAT 11:30-12:00 PM,14,1,30,13,16,"""Awesome Adventures"" is designed to educate, inform and entertain children 13 to 16 years of age about the world around them. Each journey is a lesson in the beauty of nature, its creatures, and the people who inhabit the land. The shows are not designed to be ""preachy"" or overly pedantic, but rather the goal is to make the learning fun. The show is hosted by A.T. Montgomery.",1,N/A,N/A,N/A
2005,WJBK,FOX,DETROIT,3,ANALOG,UNDER THE HELMET,CORE,NETWORK,SAT 12:00-12:30 PM,14,1,30,13,16,"""NFL:UNDER THE HELMET"" showcases the pro-social on and off the field activities of the NFL's leading players and coaches. Working with the National Association for Sports and Physical Education, the program (1) educates teens about dedication, hard work, teamwork, goal setting and community service, (2) provides examples of responsible social and personal behavior, (3) demonstrates how to deal constructively with the differences among people and (4) teaches the benefits of physical activity and fitness.",1,N/A,N/A,N/A
2005,WJBK,FOX,DETROIT,3,ANALOG,WILD ABOUT ANIMALS,CORE,SYNDICATED,SAT 12:30-1:00 PM,12,2,30,13,16,"""Wild About Animals"" is a weekly show designed to educate and inform children by bringing them the most entertaining and interesting stories about the world's most fascinating animals. Each show consisting of at least four (4) or more stories which are designed to teach children about exotic and unique animals from the wild, as well to educate them further about animals they see everyday.",2,N/A,N/A,N/A
