Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2002,WALV,NA,Indianapolis,3,Analog,REAL LIFE 101,Core,Syndicated,Monday 12:30PM,13,0,30,13,16,The concept for Real Life 101 is bold yet. Real Life Jobs and careers are explored in an energetic style as an education and information (E/I)presentation for teenage viewers. The careers and people chosen to reflect those categories offer a vital inside look at what it would really be like to choose that particular profession. A cohost approach allows for interchange of questions and responses adding viewer stimulation and insight. ,99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,ENDURANCE ,Core,Network,Saturday 11:30AM,12,0,30,13,16,"ENDURANCE is an engrossing program that shows the target audience,with typical kids ages 12-16, succeeding at several different physical, intellectual and strategic challenges in order to win a fabulous travel prize. The audience will be exposed to historical information about great feats of endurance, from Houdini’s escape artistry to Sir Edmund Hillary’s ascent of Mount Everest. Each of the 12 competitive challenges is a metaphor for one of these feats of endurance. In addition, there are strategic challenges based on ten character traits that are important for success. Contestants must estimate probabilities and beat the odds. Overall, the competition balances luck or fate against personal effort so that the contestants learn to balance intellect with intuition in developing their winning strategy. Narration and interviews during each episode trace the emotional growth and insights of the contestants, with an emphasis on how the experience of protracted competition and teamwork teaches both social skills and life skills for achieving success with your goals. ",99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,OPERATION JUNKYARD,Core,Network,Saturday 11:00AM,12,0,30,13,16,"OPERATION JUNKYARD is a reality show that creates teams of kids who are interested in building and inventing, and puts the teams in competitive engineering challenges. The over-arching goal of the program is to show how the basic principles of engineering are accessible to anyone who wants to know “how things work.” Specific objectives are to communicate to the audience how teams can work successfully under pressure to create working machines and to demonstrate the use of recyclable objects to create something completely different from the object’s original purpose. In each episode, two groups of four kids form teams that actually work under defined time pressures and information limitations. They have to create, from the junk on an “Operation Junkyard” bus, working machines that spray water, float on water, catapult balls, scoop mud, lift objects or even fill pies. The engineering is diagrammed for the audience to track each team’s progress, and the underlying concepts of the project are explained in everyday terms. After each machine is built, a rousing and sometimes hilarious competition is held to see which contraption succeeds in fulfilling its purpose. ",99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,POOCHINI ,Core,Syndicated,Wednesday 12:30PM,12,0,30,6,12,"Poochini is entertaining, informative and teaches young viewers lessons such as the value of ingenuity and perseverance in problem solving; that all living creatures are important and worthy of respect; and the consequences of jumping to conclusions. ",99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,SO YOU WANT TO BE?,Core,Syndicated,Tuesday 12:30PM,13,0,30,13,16,"An opportunity for children to gain a realistic insight into professions that may be of interest to them in the years ahead. From aircraft pilot, banker or marine biologist to travel agent, reporter and chef, a pair of different professions are highlighted in each show. ",99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,THE BRAIN GAME ,Core,Local,Thursday 12:30AM,13,0,30,13,16,"Weekly academic quiz show pairing area high schools in an elimination competition, testing participants’ general knowledge in many subject areas. Produced by WTHR in association with the University of Indianapolis during the regular school year to encourage, promote and recognize academic achievement. ",99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,REAL LIFE 101 ,Non-core,Syndicated,Saturday 4 PM,1,0,30,13,16,The concept for Real Life 101 is bold yet. Real Life Jobs and careers are explored in an energetic style as an education and information (E/I)presentation for teenage viewers. The careers and people chosen to reflect those categories offer a vital inside look at what it would really be like to choose that particular profession. A cohost approach allows for interchange of questions and responses adding viewer stimulation and insight. ,99,NA,NA,NA
2002,WALV,NA,Indianapolis,3,Analog,SO YOU WANT TO BE? ,Non-core,Syndicated,Saturday 3:30 PM,1,0,30,13,16,"An opportunity for children to gain a realistic insight into professions that may be of interest to them in the years ahead. From aircraft pilot, banker or marine biologist to travel agent, reporter and chef, a pair of different professions are highlighted in each show. ",99,NA,NA,NA
2002,WBXI-CA,MTV2,Indianapolis,3,Analog,ZEBBY'S ZOO ,Core,Syndicated,Tuesdays/7am & 8am,28,0,30,2,6,"Zebby's Zoo follows the many adventures of Zebby the talking Zebra and his friends. Zebby's Zoo furthers the educational and informational needs of children ages 2 to 6 by introducing younger children to good values, fitness/health, basic spelling and arithmetic, along with home and neighborhood safety. ",99,NA,NA,NA
2002,WBXI-CA,MTV2,Indianapolis,3,Analog,DID YOU EVER WONDER ,Core,Syndicated,Tuesdays/7:30am ,14,0,30,8,12,"Did You Ever Wonder is a ""nationally acclaimed"" children's series that furthers the educational and informational needs of children ages 8 to 12. Did You Ever Wonder provides answers to the why's and how's on a wide variety of topics such as making chocolate, cereal and paper and how computers are built. ",99,NA,NA,NA
2002,WBXI-CA,MTV2,Indianapolis,3,Analog,LOVE TO TALK,Core,Syndicated,Tuesdays 8:30am ,14,0,90,12,16,"Love To Talk furthers the educational and informational needs of children ages 12 to 16 by focusing on the many problems encountered by young teens and pre-teens. This ""Larry King"" type television talk show is hosted by Robert Holt of L.O.V.E. (Let Our Violence End), an Arkansas based intervention and prevention organization that has developed a nationwide reputation for reaching out to teens. Love To Talk mediated calls from teens, parents, and educators and includes topics such as teen sex, relationships, drugs and alcohol, teen pregnancy, racism and numerous other topics that directly affects the young people of today. ",99,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,KIDS LIKE YOU - PERMANENTLY REPLACED BY DAVEY AND GOLIATH,Core,Network,Saturday 9 AM,6,1,30,6,12,KIDS LIKE YOU educates and informs children between the ages of 6-12 by presenting challenging situations with solutions that develop character. ,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,THE REPPIES ,Core,Network,Saturday 9:30am & 12pm,24,2,30,3,9,THE REPPIES educates and informs children between the ages of 3 - 9 on valuable life lessons as it explores the decision making process of the important and sometimes difficult choices that children encounter.,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,COLBY'S CLUBHOUSE ,Core,Network,Saturday 10am,12,1,30,6,12,COLBY'S CLUBHOUSE educates and informs children between the ages of 6-12 about how to successfully deal with everyday situations and challenges using Bible principles. ,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,KNOCK KNOCK CLUB ,Core,Network,Saturday 10:30am ,12,1,30,2,7,"The KNOCK KNOCK CLUB educates and informs children ages 2-7 about the world, as well as teaching math, language and basic problem solving skills. ",0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,FAITHVILLE ,Core,Network,Saturday 8am & 11am,24,2,30,4,16,FAITHVILLE educates and informs children ages 4 - 16 about the value of both teamwork and the importance of the individual within the community. ,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,CHERUB WINGS ,Core,Network,Saturday 11:30am ,12,1,30,3,7,CHERUB WINGS educates and informs children between the ages of 3-7 by teaching practical living skills with important values through Bible stories and songs that children love. ,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,WWJD? ,Core,Network,Saturday 12:30 PM,10,3,30,11,16,"WWJD? educates and informs youth ages 11 to 16 as teens discuss how to successfully deal with the issues they face today such as drugs, dating and peer pressure. ",0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,GREATEST HEROES AND LEGENDS OF THE BIBLE ,Core,Network,Saturday 1 PM,12,1,45,10,16,GREATEST HEROES & LEGENDS OF THE BIBLE educates and informs youth ages 10 to 16 through animated Bible stories that promote important character building values. ,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,DAVEY AND GOLIATH,Core,Network,Saturday 9 AM,6,0,30,3,9,DAVEY AND GOLIATH educates and informs children between the ages of 3 - 9 by teaching important life skills based on positive and practical Bible principles.,99,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,JOY JUNCTION,Core,Network,Saturday 7 AM,12,1,30,8,12,JOY JUNCTION educates and informs children ages 8-12 by teaching Bible history and the development of positive social and moral values.,0,,,
2002,WCLJ,TBN,Indianapolis,6.45,Analog,GOSPEL BILL ,Core,Network,Saturday 7:30 AM,12,1,30,5,12,GOSPEL BILL educates and informs children between the ages of 5-12 by teaching positive social skills and self awareness absed on biblical prinicples. ,0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,JANICE'S ATTIC,Core,Network,Saturday 8:30 AM,12,1,30,4,8,"JANICE'S ATTIC educates and informs children between the ages of 4-8 about nature, personal health and the value of positive character qualities. ",0,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,KIDS AGAINST CRIME ,Non-core,Network,Saturday 4:30 AM,11,2,30,5,12,KIDS AGAINST CRIME educates and informs children between 5 - 12 by exploring the real-life crimes committed against and by youth and the penalties for those who commit these crimes. ,N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,KIDS LIKE YOU ,Non-core,Network,Saturday 5 AM,12,1,30,6,12,KIDS LIKE YOU educates and informs children between the ages of 6-12 by presenting challenging situations with solutions that develop character. ,N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,CIRCLE SQUARE ,Non-core,Network,Saturday 5:30 AM,12,1,30,4,12,CIRCLE SQUARE educates and informs children between the ages of 4 - 12 by presenting biblically based values and morals used for problem solving in everyday situations. ,N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,FLYING HOUSE ,Non-core,Network,Saturday 6 AM,12,1,30,5,10,FLYING HOUSE educates and informs children ages 5 - 10 by reaching Bible stories that highlight important character traits such as honesty and courage. ,N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,SUPERBOOK ,Non-core,Network,Saturday 6:30 AM,12,1,30,5,10,"SUPERBOOK educates and informs children between the ages of 5 - 10 by teaching Bible stories that highlight the important character traits children will need in life such as courage, loyalty and responsiblity.",N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,VIRTUAL MEMORY ,Non-core,Network,Friday 1am & Saturday 11pm,19,7,30,13,17,VIRTUAL MEMORY is a Bible trivia show that educates and informs kids between the ages of 13-17 by affirming positive social skills through biblical facts and principles. ,N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,2WORLDS ,Non-core,Network,Sunday 1:30am,5,8,30,11,16,2WORLDS educates and informs youth ages 11-16 by promoting critical thinking skills and self-esteem as young people evaluate their life experiences and discuss affective answers to the issues they face. ,N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,WWJD? ,Non-core,Network,Saturday 3am,8,5,30,11,16,"WWJD? educates and informs youth ages 11-16 as teens discuss how to successfully deal with the issues they face today such as drugs, dating and peer pressure. ",N/A,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,GREATEST HEROES AND LEGENDS OF THE BIBLE,Non-core,Network,Friday 6pm & Sunday 3:30am,16,10,45,10,16,GREATEST HEROES & LEGENDS OF THE BIBLE educates and informs youth ages 10-16 through animated Bible stories that promote important character building values.,2,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,THE LEGEND OF THE CANDY CANE ,Non-core,Network,Tuesday 10:30 AM,1,0,43,4,8,THE LEGEND OF THE CANDY CANE educates and informs children between the ages of 4-8 by teaching important life skills and character building values and dealing with daily life challenges. ,99,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,BEN & EDDIE ,Non-core,Network,Saturday 4 AM,1,0,60,2,6,"BEN & EDDIE educates and informs children ages 2-6 by cutting to the heart of the pressing issues kids face such as how to deal with fear, disappointment, forgiveness and loneliness. ",99,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,THE KID'S CLUB,Non-core,Network,Saturday 2 PM,1,0,30,3,9,THE KID'S CLUB educates and informs children between the ages of 3-9 about history through the Bible as well as teaching children about safety and offering exercise instruction. ,99,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,BEN & EDDIE,Non-core,Network,Wednesday 4:30 AM,1,0,60,2,6,"BEN & EDDIE educates and informs children ages 2-6 by cutting to the heart of pressing issues kids face such as how to deal with fear, disappointment, forgiveness and loneliness. ",99,NA,NA,NA
2002,WCLJ,TBN,Indianapolis,6.45,Analog,IT IS A GOD THING ,Non-core,Network,Saturday 12:30 PM,1,0,30,6,13,IT IS A GOD THING educates and informs children ages 6-13 by teaching the consequences of actions and important valuable life lessons through biblical facts and principles. ,99,NA,NA,NA
2002,WHMB,NA,Indianapolis,3.5,Analog,BLINKY BILL ,Core,Syndicated,Saturday 7 AM,13,0,30,5,11,"This is a half-hour weekly animated program featuring a mischievous koala named Blinky Bill. Each week a different adventure takes place with a whole set of regular characters on the show. During each show, Blinky Bill teaches kids about sharing, kindness, giving and loving, along with caring about the environment around them. This show meets the definition of core programming because it educates and informs children about making right decisions learned from previoius mistakes, community involvement, community problem-solving, leadership challenges, consensus building and local government organization and operation. ",99,NA,NA,NA
2002,WHMB,NA,Indianapolis,3.5,Analog,SO YOU WANT TO BE ,Core,Syndicated,Saturday 7:30 AM,13,0,30,6,13,"This half-hour weekly series for teenagers is an upbeat interactive series that explores career opportunities for young people. Two teenage hosts present an informative and realistic look into various occupations children can choose to go into. Each show the hosts will visit and talk to different people in various occupations, from airplane pilot, banker and crane operator to marine biologist, salesperson and veterinarian. Children will get to see up close what various tasks different occupations consist of, what kind of schooling is needed, etc. This program meets the definition of core programming because it educates and informs children on the various career opportunities available to them and what that particular job will consists of. ",99,NA,NA,NA
2002,WHMB,NA,Indianapolis,3.5,Analog,WILD ABOUT ANIMALS ,Core,Syndicated,Friday @ 530PM / Saturday @ 8AM ,23,3,30,13,16,"This is an animal magazine type program that takes a look at pets, wildlife and other things involving animals and their owners. Various items appearing in the program include pet stories and tips for children on taking care of their pets, stories featuring animal heroes and K-9 cops, celebrity owners and their animals, various animal stars featured in movies and other things, and fascinating wildlife video and information along with animal bloopers. This program meets the definition of core programming because it educates and informs children on how to respect the animal world, how to care for their own animals, and it equips them so they can better associate with the animal world. ",2,NA,NA,NA
2002,WHMB,NA,Indianapolis,3.5,Analog,CRITTER GITTERS ,Core,Syndicated,Saturday 8:30 AM,13,0,30,9,14,"This is a half-hour live action television program feauring a group of neighborhood kids who join forces with a couple of veterinarians and an inventive professor. The kids in turn become a search and rescue unit, a detective agency and a police force of sorts for animals. The Critter Gitters team works with authorities to solve animal mysteries, puzzling cases and even international crimes involving animals of every size, shape and species. This program meets the definition of core programming because each show contains educational material and information about science, animals, biology and geography, while the Critter Gitters solve ethical dilemmas that face children in everyday life. ",99,NA,NA,NA
