Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Kids Against Crime,Core,Network,Saturdays 7-7:30AM & 9:30-10AM,11,2,30,5,12,"""KIDS AGAINST CRIME"" - This program educates and informs children by exploring the real-life crimes committed against and by youths and the penalities for those who commit these crimes.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,The Kid's Club,Core,Network,Saturdays 7:30-8AM & 12-12:30PM,14,1,30,3,9,"""THE KIDS CLUB"" - This program educates and informs children about history through the Bible as well as teaching children about safety and offering exercise instructions.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Circle Square,Core,Network,Saturdays 8-8:30AM,11,2,30,4,12,"""CIRCLE SQUARE"" - This program educates and informs children by presenting Biblically based values and morals used for problem solving in everyday situations.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Joy Junction,Core,Network,Saturdays 8:30-9AM,11,2,30,8,12,"""JOY JUNCTION"" - This is a program designed to be an interactive learning experience. Set in a Western town, Joy Junction features a cast of characters and a studio audience. Kids in the audience participate in a game show format while the show's characters play out a story that teaches kids a pro-social message and morality lesson in a way that has a long lasting impact.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Just the Facts,Core,Network,Saturdays 9-9:30AM,12,1,30,10,16,"""JUST THE FACTS"" - A program that deals with teen issues of everyday life. This program educates and informs teens about life-style choices. The show teaches on how to love, help those in need, problem-solve, and how to search for the real truth.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Superbook,Core,Network,Saturdays 9:30-10AM,10,2,30,5,10,"""SUPERBOOK"" - The educational value of SuperBook is based on the accumulation of 4000 years of teachings about the necessity of sound social and moral behavior in the general health of any social group. These Old Testament historical accounts are codified in one of the oldest and most proven group of laws or moral codes known to man, the Mosaic Laws and Covenants, and are taught through entertaining animation and children's characters.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Quigley's Village,Core,Network,Saturdays 10-10:30AM,8,5,30,2,7,"""QUIGLEY'S VILLAGE"" - This program educates and informs children by teaching important life skills based on positive and practical principles.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Gospel Bill,Core,Network,Saturdays 7:30-8AM & 10:30-11AM,10,3,30,6,12,"""GOSPEL BILL"" - Adventure in an old west setting - featuring Gospel Bill as the sheriff of Dry Gulch and a host of interesting characters. Educates children in Judeo-Christian values, morals and standards by using the experiences of these characters children can relate to, thereby providing them with practical applications of Biblical principles which can be applied to their daily lives.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Kids Like You,Core,Network,Saturdays 11-11:30AM,10,2,30,6,12,"""KIDS LIKE YOU"" - Jailhouse Joe, Boxcar Billy, Agnes Bittimore, and lots of loveable puppets create a setting to teach Judeo-Christian values and principles via drama, skits, and songs to grade school children - enchancing the spiritual part of their lives. The show educates and informs children by presenting challenging situations with solutions that develop character.",N/A,N/A,N/A,N/A
1997,WCLJ-TV,TBN,"Indianapolis, IN",5.5,Analog,Colby's Clubhouse,Core,Network,Saturdays 11:30-12PM,11,2,30,6,12,"""COLBY'S CLUB HOUSE"" - This program educates and informs children between the ages og 6-12 about how to successfully deal with everyday situations and challenges using the principles of the bible.",N/A,N/A,N/A,N/A
