Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-Core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1997,KABC,ABC,LOS ANGELES,4,ANALOG,DISNEY'S 101 DALMATIONS- THE SERIES,CORE,NETWORK,SAT 7:00-7:30 AM,13,5,30,7,11,"In the personae of a group of dalmatian puppies and their friend, a resourceful chicken named ""Spot,"" this series addresses many of the key developmental issues of middle childhood. Stories revolve around conflicts over rules, learning to be responsible, attempts to gain peer acceptance, learning from mistakes, desires to help other animals or human characters, problem-solving. The series encourages prosocial values such as empathy, fairness, and cooperative behavior as well as modeling information-gathering and thinking strategies.",N/A,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,DISNEY'S 1 SATURDAY MORNING,CORE,NETWORK,SAT 7:30-9:30 AM,13,5,120,8,12,"This series features long-form educational elements -- ""Brand Spanking New! Doug,"" ""Disney's Recess"" and ""Disney's Pepper Ann"" -- and short-form educational elements. This two-hour program block features three half-hour educational series in combination with a variety of short-form educational and entertainment elements which include ""Great Minds...Think For Themselves"" (American History segments), ABC's Schoolhouse Rock"" and fact-based shorts called ""What's Up With That?"". Brand Spanking New! Doug -- Narrated via the spoken journal entries of aspiring writer/cartoonist Doug Funnie, this series uses humor and fantasy in depicting the struggles of a twelve-year-old boy to develop self-confidence and identity, resolve family, peer and school problems and maintain friendships strained by preadolescent physical and emotional change. Series episodes foster values such as honesty, loyalty, fairness and respect for individual differences. By means of its narrative episode structure ""Brand Spanking New! Doug"" also serves to encourage creative writing and artistic expression. (Target Age - 8-12) Disney's Pepper Ann -- ""Pepper Ann"" features a twelve-year-old girl who demonstrates that individuality, self-expression, competence and humor are assets for a pre-teenager. From week to week Pepper, who is growing up in a single-parent family and who attends Middle School, learns that it is O.K. to make mistakes and that it is important to speak out for what one believes. Additionally, the series affirms positive values such as effort/perseverance, taking responsibility, creativity and the value of friendship. (Target Age - 10-12) Disney's Recess -- ""Disney's Recess"" is a collection of animated stories about a group of fourth graders who attend suburban public school. Having been loyal friends for years, these children are an ethnically and gender-diverse group. They provide role models for viewers who may likewise be struggling with problems common to middle childhood such as conflicts with authority figures, school and family rules, desire to be popular, peer pressure, crises of confidence, lack of fairness. A recurrent theme is the issue of dealing with the class bully or ""teacher's pet."" Certain episodes raise thought-provoking questions which parents and children can talk about together, providing a rich source of value-oriented family discussion material. (Target Age - 8-12)",N/A,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,DISNEY'S JUNGLE CUBS,CORE,NETWORK,SAT 10:30-11:00 AM,13,5,30,5,8,"The 1997-98 episodes of ""Jungle Cubs"" are specifically designed to be an educational children's series. In this animated series the beloved animals from Rudyard Kipling's ""The Jungle Book"" -- Bagheera, Baloo, Hathi, Kaa, Louie and Shere Khan -- are portrayed as young animals who are growing up in the jungles of India. Series episodes teach and reinforce prosocial values such as cooperative behavior, resolving disagreements, developing empathy, building self-esteem, taking responsibility, overcoming fears, maintaining friendships.",N/A,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,THE NEW ADVENTURES OF WINNIE THE POOH,CORE,NETWORK,SAT 11:00-11:30 AM,13,5,30,3,6,"Based on the classic ""Winnie The Pooh"" book series by author A.A. Milne, ""The New Adventures of Winnie The Pooh"" depicts the everyday lives of Christopher Robin and his animal companions Pooh, Piglet, Rabbit, Tigger, Eeyore, Owl and Gopher. Series episodes convey strong prosocial messages about honesty, taking responsibility, persistence, cooperative effort, friendship and caring. Episodes are designed to have great educational relevance to younger viewers and to help younger children distinguish between fantasy and reality, identify feelings and overcome common childhood fears.",N/A,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,SCIENCE COURT,CORE,NETWORK,SAT 11:30-12:00 PM,13,5,30,8,12,"""Science Court"" offers a novel and highly entertaining approach to science education. Primarily designed for children in the middle school grades, the series uses a humorous courtroom setting as a vehicle for teaching broad scientific concepts and their everyday applications. In the courtroom setting characters present their views in a logical manner, enabling the home viewing audience to develop logical and sequential thinking skills, to examine and discribe phenomena, to evaluate hypotheses in light of data obtained and to use both inductive and deductive reasoning. Key science concepts are illustrated by means of courtroom ""demonstrations"" and graphics.",N/A,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,ABC'S SCHOOLHOUSE ROCK,NON-CORE,NETWORK,SAT 9:57-10:00 AM,13,0,3,6,11,"This short-form educational program teaches concepts in grammar, math, U.S. history, science and finance by transforming these concepts into popular song, rhyme and amusing visuals. This method of presenting academic concepts has proven to be a powerful instructional tool.",99,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,ABC'S SCHOOLHOUSE ROCK,NON-CORE,NETWORK,SAT 10:27-10:30 AM,13,0,3,6,11,"This short-form educational program teaches concepts in grammar, math, U.S. history, science and finance by transforming these concepts into popular song, rhyme and amusing visuals. This method of presenting academic concepts has proven to be a powerful instructional tool.",99,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,BRAND SPANKING NEW DOUG HOLIDAY MARATHON,NON-CORE,NETWORK,SAT 12:00-2:00 PM,13,0,120,8,12,"This special features four episodes of ""Brand Spanking New Doug."" Narrated via entries in Doug's journal, the special follows Doug through some unique learning experiences -- parental advice, appreciation, standing up for what you believe in, and feeling left out -- culminating with the arrival of a new baby sibling.",99,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,"ABC KIDS' MATINEE: ""THE SECRET GARDEN""",NON-CORE,NETWORK,SUN 11:00-12:30 PM,1,0,90,7,11,"Based on the novel ""The Secret Garden"" by Frances Hodgson Burnett, this animated special recounts the story of Mary Lennox, a child orphaned in a late 1800's smallpox epidemic in India. The child was brought to England to live with her uncle.",99,N/A,N/A,N/A
1997,KABC,ABC,LOS ANGELES,4,ANALOG,KIDS VIEW,NON-CORE,LOCAL,SAT 12:00-12:30 PM & SUN 11:30-12:00 PM,6,7,30,2,12,"This show takes kids on field trips to all kinds of fun, exciting and educational places all over L.A.",N/A,N/A,N/A,N/A
