Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2006,KFOL,N/A,NEW ORLEANS,20,ANALOG,SPORTSMAN'S PARADISE,CORE,LOCAL,"M 12P;2:30P, TU 7A;3P, 2 1P;730P, TH 1:30P, F 12:30P;2P;7:30P, SA 10A;9P, SU 12:30P; 3:30P",180,0,30,4,16,"PROGRAM ABOUT FISHING AND HUNTING IN LOUISIANA THAT PLACES AN EMPHASIS ON TEACHING CHILDREN ABOUT CONSERVATION OF NATURAL RESOURCES BY EDUCATING THEM ABOUT CATCHING AND RELEASING FISH AMONG OTHER CONSERVATION TECHNIQUES. BOTH HOSTS OF THE SHOW ALSO MAKE A CONSTANT EFFORT TO TEACH CHILDREN TO ENJOY BUT ALSO CONSERVE THE NATURAL RESOURCES AROUND THEM, INCLUDING LOUISIANA'S COASTLINE AND FISH AND WILDLIFE POPULATION.",99,N/A,N/A,N/A
2006,KFOL,N/A,NEW ORLEANS,20,ANALOG,ONE ON ONE,CORE,LOCAL,"M 7A, TU 7:30P, W9P, TH 10A;7:30P;9PM, F 10A;9P;3:30P, SA 3:30P, SU 7A",142,2,30,4,16,"PROGRAM FEATURING AN INTERVIEW CONDUCTED EACH NIGHT BY MARTIN FOLSE OF A DIFFERENT IMPORTANT FIGURE IN LOCAL, REGIONAL, AND STATE POLITICS, HISTORY AND CULTURE. GUESTS RANGE FROM LOCAL RESIDENTS OF NOTE TO POLITICIANS TO MUSICIANS AND ARE CHOSEN WITH EMPHASIS ON ABILITY TO TEACH VIEWERS, ESPECIALLY CHILDREN, ABOUT SOUTH LOUISIANA'S UNIQUE HERITAGE, POLITICS, AND CULTURE.",0,N/A,N/A,N/A
2006,KFOL,N/A,NEW ORLEANS,20,ANALOG,QUIZ BOWL JUNIOR,CORE,LOCAL,MON-SUN 4PM,14,0,30,4,16,"EACH WEEK TWO DIFFERENT LOCAL HIGH SCHOOLS SEND JUNIOR STUDENTS TO BE QUIZZED IN RANDOM SUBJECTS BY THE HOST. AS A RESORT, ONE STUDENT IS SELECTED AT THE END AS THE WINNER WITH THE MOST KNOWLEDGE.",99,N/A,N/A,N/A
2006,KFOL,N/A,NEW ORLEANS,20,ANALOG,QUIZ BOWL SENIOR,CORE,LOCAL,MON-SUN 4:30PM,14,0,30,4,16,"EACH WEEK TWO DIFFERENT LOCAL HIGH SCHOOLS SEND SENIOR STUDENTS TO BE QUIZZED IN RANDOM SUBJECTS BY THE HOST. AS A RESORT, ONE STUDENT IS SELECTED AT THE END AS THE WINNER WITH THE MOST KNOWLEDGE.",99,N/A,N/A,N/A
2006,WBXN-CA,MYNETWORK,NEW ORLEANS,3,ANALOG,WHADDY ADO,CORE,SYNDICATED,SUN 7:30AM,14,0,30,13,16,Each week teens will learn lessons about how to react when perilous situations and everyday problems occur. Real footage and re-enactments mix with teen-on-the-street interviews and expert opinions on what to do.,99,N/A,N/A,N/A
2006,WBXN-CA,MYNETWORK,NEW ORLEANS,3,ANALOG,NATIONAL GEOGRAPHIC'S REALLY WILD ANIMALS,CORE,SYNDICATED,SUN 8:30AM,14,0,30,8,12,"This series of videos on wild animals, birds, and insects in their natural environments is designed to engage the curiosity and developing intelligence of boys and girls in the beginning school years. There is a special emphasis on nature, science, the adaptation, and survival of species, and their role in human planetary welfare. Each episode examines topics of Geography, Ecology, and the ways in which non-humans; animals, birds and insects adjust to the complexities of their specific habitats in the various continents and oceans that make up our planet, Earth. 1. Reaching and Teaching The episodes are designed specifically to engage the special cognitive and social/emotional capacities of this age group. The use of a humorous, playful representation of our globe in the form of Spin, voiced very clearly and in a lively “fun” manner by Dudley Moore is designed to create a story-like frame that is likely to attract this age group. Spin comes across as a sometime blundering story-teller who will appeal to children who are curious but also often somewhat inclined to be quizzical of the formalities of instruction. Dudley Moore with his clear speech and light tone seems to represent an excellent spokesperson that can present extensive information to children while avoiding a formal, didactic approach. 2 .Major Instructional Topics The content of the episodes, while focused primarily on depictions of animals in their natural habitats, contain important subtexts that are regularly repeated in many shows. These include examples of the vast variability of living species on different continents with indications of the fact that all sizes and shapes of birds, animals, and insects demonstrate remarkable means of adjusting to often extremely difficult ecological circumstances. While children are easily attracted to the big animals like elephants, lions, crocodiles, the series calls continuing attention to the remarkable constructive abilities and seeming social complexity of tiny meercat felines, beavers with their dam and lodge building, ants in their complex societies and especially the amazing termite towers, and the elegant mating rituals of bower birds. For the viewers in this age group, facing first exposures to a wider world outside of their own families, the series presents a key educational opportunity. Children can learn about the unusual kinds of animal home-building, of how various species gather food, or are predators who must also protect themselves or their young, or how many survive only by remarkable migrations. Because early school-age children are at the same time family-dependent, yet increasingly exposed to new settings, they sustain a strong interest in issues of childcare and safety. A recurrent feature throughout the series reflects issues of baby-care, and protection with examples of elephants to tortoises, from wallabies to koalas. There are many instances about the habits and pranks of primates and monkeys that not only delight children but also offer an easy opportunity for identification. At a more subtle level, there are continuing examples of animal life that may encourage children to think for the first time about critical issues of ecology and of the importance of preserving natural habitats for many species to survive in the face of widespread human incursions. The information about the beaver and the dam building of ponds stresses how this one animal contributes to the making an agreeable habitat for a variety of fish, fowl and insects. The critical importance for humans of preservation of tropical rainforest is well demonstrated in a manner easily grasped by this age group. Examples of humans as rescuers of endangered young animals are vividly presented. In Australia, the cute koala is often left homeless as the Eucalyptus trees that they depend on for food and shelter are cut down. Demonstrating how an orphaned, homeless koala is rescued by humans, nurtured, and then gradually returned to its habitat is a memorable example. Other comparable stories woven into episodes about baby pandas in China and even an orphaned black bear, nurtured by humans and then adopted by an unrelated mother are well presented. These vignettes appeal to the social and emotional feelings of the target viewers. These many instances also may convey a first exposure of children to the interdependence of humans and animals. The series offer a useful array of examples for children of how we can understand, respect, and appreciate the world of the other living organisms that share our planet without anthropomorphosis of other creatures. The episodes still show the natural ways in which we as humans can relate to the many other living species. The many examples of scientific research, of human rescue and care facilities for species such as eagles and wild horses, and the importance of natural habitat preservation all bring children a sense of fellowship with the animal world and greater understanding of nature. 3. Supplementary Learning Opportunities In addition to the major instructional thrusts of the series, there are some additional educational opportunities. Perhaps the most obvious is the area of expanded cognitive skills such as planning, problems solving, and, vocabulary. Unfamiliar words are explained by the host, and at times, supers on the screen help the viewer learn the names of animals or concepts such as migration, pouch. Other cognitive skills are enhanced by the use of maps or names of continents. Children become acquainted with how the sensory modalities of vision, smell, and hearing are used by animals to recognize their young as in the case of the zebra. Even the sonar-like sounds by bats and other nocturnal animals are exemplified. The uses of story segments within the episodes also are valuable for children, not only for sustaining interest but also as demonstration narrative thinking as a useful aid to memory. The baby wildebeest’s survival over several hundred miles of migration is a fine instance. Broken into segments but carefully preserving story-continuity, it helps children practice how to recognize sequences and refresh memories. At a more social level, the content of the many construction and childcare depictions demonstrates the value of cooperative behavior. The mother emu in Australia gives birth to eggs, but the father then sits on them, warming and guarding them, and oversees their hatching. The sharing of food and the nurturing of young in a great variety of animals, birds, aquaria, and insect species is powerfully demonstrated.",99,N/A,N/A,N/A
2006,WBXN-CA,MYNETWORK,NEW ORLEANS,3,ANALOG,REAL LIFE 101,CORE,SYNDICATED,SUN 9AM,14,0,30,13,16,"Real life jobs and careers are explored in an energetic style. The careers and people chosen to reflect those categories offer a vital inside look at what it would really be like, and what it takes, to choose a particular profession.",99,N/A,N/A,N/A
2006,WBXN-CA,MYNETWORK,NEW ORLEANS,3,ANALOG,B IN TUNE TV,CORE,SYNDICATED,SUN 9:30AM,14,0,30,13,16,"In conjunction with the InTune Foundation and InTune magazine, this show will focus on the music industry as it pertains to young adults. The show is committed to the positive influences of music on the community. It will provide interviews and insights into the top musical stars in all genres with a look at their lives, their inspirations and their recommendations to today's youth.",99,N/A,N/A,N/A
2006,WBXN-CA,MYNETWORK,NEW ORLEANS,3,ANALOG,WILD AMERICA,CORE,SYNDICATED,SUN 7AM,14,0,30,13,16,"The key educational objective of the program is to familiarize children with the animals of the North American continent, their interaction with other animals and their environment. Throughout the series emphasis will be placed upon protecting endangered species and the impact that humans have while interacting in their environment.",99,N/A,N/A,N/A
2006,WBXN-CA,MYNETWORK,NEW ORLEANS,3,ANALOG,SAFARI TRACKS,CORE,SYNDICATED,SUN 8AM,14,0,30,13,16,"This series will focus entirely on African wildlife. Filmed entirely across Africa's continent, and led by Ushaka, the show's young South African host, each week young viewers will learn about wildlife conservation and show them how to better support efforts to protect endangered species.",99,N/A,N/A,N/A
