Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,
2002,KATU,ABC,"Portland, OR",3,Analog,Disney's Teamo Supremo,Core,Network,Saturdays/9:00am,13,3,30 minutes,7 years,10 years,"“Disney's Teamo Supremo” features three elementary school children who are superheroes. Crandall, Brenda and Hector (a Hispanic boy) possess high-tech tools, which give them extraordinary physical powers. These enable them to help the state Governor and C",3,N/A,N/A,N/A,
2002,KATU,ABC,"Portland, OR",3,Analog,Disney's Recess,Core,Network,Saturdays/9:30am,13,3,30 minutes,8 years,12 years,"""Disney's Recess"" is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to mi",3,N/A,N/A,N/A,
2002,KATU,ABC,"Portland, OR",3,Analog,Disney's Fillmore,Core,Network,Saturdays/10:00am PT,13,4,30 minutes,9 years,12 years,"“Fillmore!” is a detective series that takes place in a middle school. The stars of the stories are the members of X Middle School’s Safety Patrol, a multi-ethnic group of youth who wear the orange sash and badge of peer authority. They investigate and fo",4,N/A,N/A,N/A,
2002,KATU,ABC,"Portland, OR",3,Analog,Disney's Recess,Core,Network,Saturdays/10:30am PT,13,4,30 minutes,8 years,12 years,"""Disney's Recess"" is a collection of stories about six fourth-grade children who attend public school. These children are an ethnically diverse and gender-diverse group. Their experiences at Third Street School deliver messages about problems common to mi",4,N/A,N/A,N/A,
2002,KATU,ABC,"Portland, OR",3,Analog,Lizzie McGuire,Core,Network,Saturdays/11:00am PT,13,4,30 minutes,9 years,12 years,"""Lizzie McGuire"" is the story of an ingenious twelve-year-old girl who attends an ethnically diverse middle school. Her best friends are Miranda, a feisty Hispanic girl, and a boy named Gordo. Lizzie has a gifted younger brother who is frequently the sour",4,N/A,N/A,N/A,
2002,KATU,ABC,"Portland, OR",3,Analog,The Proud Family,Core,Network,Saturdays/11:30am PT,13,4,30 minutes,10 years,13 years,"“The Proud Family” revolves around the daily activities of fourteen-year-old Penny Proud and her African-American family consisting of parents Trudy Proud (a veterinarian) and Oscar Proud (self-employed businessman), a no-nonsense Grandmother Suga Mama wh",4,N/A,N/A,N/A,
2002,KGW,NBC,"Portland, OR",3,Analog,Scout's Safari,Core,Network,Saturdays/10:00am PT,13,2,30 minutes,9 years,14 years,"SCOUT’S SAFARI follows the development of 14-year-old Scout Lauer, whose divorced parents have to quickly move Scout from her father’s home in New York City to her mother’s home on a game reserve in South Africa. The overarching goal of the series is for ",2,N/A,N/A,N/A,
2002,KGW,NBC,"Portland, OR",3,Analog,Strange Days at Blake Holsey High,Core,Network,Saturdays/10:30am  ,13,3,30 minutes,9 years,14 years,"STRANGE DAYS AT BLAKE HOLSEY HIGH focuses on a group of five young teens who are students at a very unusual boarding school. Strange phenomena happen at the school, and our kids are members of a science club that decides, with the help of their professor,",3,N/A,N/A,N/A,
2002,KGW,NBC,"Portland, OR",3,Analog,Prehistoric Planet,Core,Network,Saturdays/3:30pm,13,0,30 minutes,9 years,14 years,"PREHISTORIC PLANET is based on the award-winning BBC/Discovery series “Walking with Dinosaurs.” It begins over 200 million years ago with the Triassic Period. Over several weeks, the audience travels through time to the Jurassic, Early Cretaceous and Mid-",99,N/A,N/A,N/A,
2002,KGW,NBC,"Portland, OR",3,Analog,Croc Files,Core,Network,Saturdays/4:00pm,13,0,30 minutes,9 years,14 years,"CROC FILES takes the audience on world-wide travels with naturalist, adventurer and story-teller Steve Irwin of the Australian Zoo. In humorous and adventuresome episodes, Steve, with his wife Terri and a small crew, travel to different locales to film a ",99,N/A,N/A,N/A,
